Product URL,Product Name,Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTcwMTM3MTgzMTY3NjU1OjE2OTc2MDk5NjM6c3BfYXRmOjIwMTM1MzM0NjYzMjk4OjowOjo&url=%2FArctic-Fox-Backpack-Charging-Laptop%2Fdp%2FB089QBD333%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697609963%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),"1,299",4.5 out of 5 stars,"4,528 ratings"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTcwMTM3MTgzMTY3NjU1OjE2OTc2MDk5NjM6c3BfYXRmOjMwMDA3MTkxNjIyNjczMjo6MDo6&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697609963%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",918.,3.9 out of 5 stars,821 ratings
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1697609963&sprefix=ba%2Caps%2C283&sr=8-3,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),499.,4.3 out of 5 stars,"13,224 ratings"
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1697609963&sprefix=ba%2Caps%2C283&sr=8-4,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,689,4.1 out of 5 stars,"1,952 ratings"
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1697609963&sprefix=ba%2Caps%2C283&sr=8-5,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9 out of 5 stars,"3,849 ratings"
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1697609963&sprefix=ba%2Caps%2C283&sr=8-6,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",449.,4.4 out of 5 stars,"5,260 ratings"
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1697609963&sprefix=ba%2Caps%2C283&sr=8-7,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",549,3.9 out of 5 stars,"17,605 ratings"
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1697609963&sprefix=ba%2Caps%2C283&sr=8-8,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),529,3.7 out of 5 stars,"2,767 ratings"
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1697609963&sprefix=ba%2Caps%2C283&sr=8-9,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,799.,4.3 out of 5 stars,"6,876 ratings"
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1697609963&sprefix=ba%2Caps%2C283&sr=8-10,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",229.,4.1 out of 5 stars,"10,271 ratings"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTcwMTM3MTgzMTY3NjU1OjE2OTc2MDk5NjM6c3BfbXRmOjMwMDA2NzYwNTk5NTAzMjo6MDo6&url=%2FHP-15-6-inch-Backpacks-Pass-Through-793A6AA%2Fdp%2FB0BYDXVM5Q%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697609963%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,HP 320 15.6-inch Backpacks/Trolley Pass-Through; Padded Back Panel; Padded air mesh Panel/Hand wash and air Dry/Padded Laptop Pocket/1 Year Limited Warranty (793A6AA),599.,4.0 out of 5 stars,60 ratings
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTcwMTM3MTgzMTY3NjU1OjE2OTc2MDk5NjM6c3BfbXRmOjMwMDA2ODYwMjU1MTMzMjo6MDo6&url=%2FGenie-Flamenco2-Backpack-Compatible-Resistant%2Fdp%2FB08YF9VHTY%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697609963%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Genie Flamenco2 Casual Backpacks for Women,649,4.4 out of 5 stars,"1,632 ratings"
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1697609963&sprefix=ba%2Caps%2C283&sr=8-13,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,099.",4.0 out of 5 stars,"56,348 ratings"
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1697609963&sprefix=ba%2Caps%2C283&sr=8-14,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",749,4.1 out of 5 stars,"6,663 ratings"
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1697609963&sprefix=ba%2Caps%2C283&sr=8-15,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,399,3.9 out of 5 stars,"1,397 ratings"
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1697609963&sprefix=ba%2Caps%2C283&sr=8-16,ADISA Laptop Backpack 31 Ltrs,349,4.0 out of 5 stars,"9,233 ratings"
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1697609963&sprefix=ba%2Caps%2C283&sr=8-17,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,"1,399",4.3 out of 5 stars,"1,343 ratings"
